Study Name	Ni_beamline_2018_02_02
Sample Name	31MeV_Ni_in_Ni
Run Name	run01
Operator	Cody
Date	2/2/2018
Time	10:48 AM
Sign	POS
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	15
dt	50.000001E-12
time stamp (ms)	11:03:34 AM
	
Time	Amplitude
0.000000E+0	-3.666334E-4
5.000000E-11	-6.887225E-4
1.000000E-10	-8.840318E-4
1.500000E-10	-9.731203E-4
2.000000E-10	-1.017665E-3
2.500000E-10	-9.354290E-4
3.000000E-10	-6.647371E-4
3.500000E-10	-3.357950E-4
4.000000E-10	-5.139720E-5
4.500000E-10	2.775449E-4
5.000000E-10	6.647371E-4
5.500000E-10	9.320025E-4
6.000000E-10	1.021091E-3
6.500000E-10	1.038223E-3
7.000000E-10	9.833997E-4
7.500000E-10	8.120757E-4
8.000000E-10	5.653692E-4
8.500000E-10	2.946773E-4
9.000000E-10	1.027944E-5
9.500000E-10	-2.638390E-4
1.000000E-9	-4.934131E-4
1.050000E-9	-6.647371E-4
1.100000E-9	-7.298402E-4
1.150000E-9	-6.852960E-4
1.200000E-9	-5.859281E-4
1.250000E-9	-4.865601E-4
1.300000E-9	-4.008981E-4
1.350000E-9	-3.289421E-4
1.400000E-9	-2.912508E-4
1.450000E-9	-3.220891E-4
1.500000E-9	-4.317365E-4
1.550000E-9	-5.962075E-4
1.600000E-9	-7.949433E-4
1.650000E-9	-1.014238E-3
1.700000E-9	-1.161577E-3
1.750000E-9	-1.209547E-3
1.800000E-9	-1.236959E-3
1.850000E-9	-1.243812E-3
1.900000E-9	-1.134165E-3
1.950000E-9	-9.148701E-4
2.000000E-9	-7.058549E-4
2.050000E-9	-5.139720E-4
2.100000E-9	-3.049567E-4
2.150000E-9	-1.541916E-4
2.200000E-9	-1.130738E-4
2.250000E-9	-1.439122E-4
2.300000E-9	-2.055888E-4
2.350000E-9	-3.186626E-4
2.400000E-9	-5.105455E-4
2.450000E-9	-7.298402E-4
2.500000E-9	-8.737524E-4
2.550000E-9	-9.491349E-4
