Study Name	Ni_beamline_2018_02_02
Sample Name	31MeV_Ni_in_Ni
Run Name	run02
Operator	Cody
Date	2/2/2018
Time	2:41 PM
Sign	FIX
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	86
dt	50.000001E-12
time stamp (ms)	4:07:36 PM
	
Time	Amplitude
0.000000E+0	4.214570E-4
5.000000E-11	1.541916E-4
1.000000E-10	-1.096474E-4
1.500000E-10	-2.055888E-4
2.000000E-10	-1.850299E-4
2.500000E-10	-1.953094E-4
3.000000E-10	-1.370592E-4
3.500000E-10	5.482368E-5
4.000000E-10	1.576181E-4
4.500000E-10	9.251496E-5
5.000000E-10	-1.027944E-5
5.500000E-10	-1.473386E-4
6.000000E-10	-4.043246E-4
6.500000E-10	-7.572521E-4
7.000000E-10	-1.161577E-3
7.500000E-10	-1.603593E-3
8.000000E-10	-1.973652E-3
8.500000E-10	-2.251197E-3
9.000000E-10	-2.470492E-3
9.500000E-10	-2.528742E-3
1.000000E-9	-2.374551E-3
1.050000E-9	-2.138123E-3
1.100000E-9	-1.843446E-3
1.150000E-9	-1.439122E-3
1.200000E-9	-1.065635E-3
1.250000E-9	-7.812374E-4
1.300000E-9	-4.488689E-4
1.350000E-9	-8.908848E-5
1.400000E-9	1.541916E-4
1.450000E-9	3.152362E-4
1.500000E-9	4.488689E-4
1.550000E-9	4.899866E-4
1.600000E-9	4.351629E-4
1.650000E-9	3.529274E-4
1.700000E-9	2.124418E-4
1.750000E-9	2.398536E-5
1.800000E-9	-1.302062E-4
1.850000E-9	-2.706919E-4
1.900000E-9	-4.214570E-4
1.950000E-9	-4.831337E-4
2.000000E-9	-3.529274E-4
2.050000E-9	-8.223552E-5
2.100000E-9	2.364271E-4
2.150000E-9	6.236193E-4
2.200000E-9	1.123885E-3
2.250000E-9	1.689255E-3
2.300000E-9	2.144976E-3
2.350000E-9	2.408815E-3
2.400000E-9	2.552728E-3
2.450000E-9	2.566433E-3
2.500000E-9	2.312874E-3
2.550000E-9	1.798902E-3
2.600000E-9	1.236959E-3
2.650000E-9	7.092813E-4
2.700000E-9	1.336327E-4
2.750000E-9	-4.317365E-4
2.800000E-9	-8.257817E-4
2.850000E-9	-1.062209E-3
2.900000E-9	-1.223253E-3
2.950000E-9	-1.288356E-3
3.000000E-9	-1.209547E-3
3.050000E-9	-1.031370E-3
3.100000E-9	-8.463405E-4
3.150000E-9	-7.401197E-4
3.200000E-9	-7.435461E-4
3.250000E-9	-7.641050E-4
3.300000E-9	-7.264137E-4
3.350000E-9	-6.818695E-4
3.400000E-9	-6.613106E-4
3.450000E-9	-6.167664E-4
3.500000E-9	-5.413838E-4
3.550000E-9	-4.557218E-4
3.600000E-9	-3.118097E-4
3.650000E-9	-9.251496E-5
3.700000E-9	1.062209E-4
3.750000E-9	2.158682E-4
3.800000E-9	2.364271E-4
3.850000E-9	1.816034E-4
3.900000E-9	9.936792E-5
3.950000E-9	0.000000E+0
4.000000E-9	-1.576181E-4
4.050000E-9	-3.289421E-4
4.100000E-9	-3.803393E-4
4.150000E-9	-2.946773E-4
4.200000E-9	-2.021623E-4
4.250000E-9	-1.576181E-4
4.300000E-9	-8.908848E-5
4.350000E-9	5.482368E-5
4.400000E-9	2.227212E-4
4.450000E-9	3.118097E-4
4.500000E-9	2.706919E-4
4.550000E-9	1.816034E-4
4.600000E-9	1.027944E-4
4.650000E-9	3.426480E-6
4.700000E-9	-9.936792E-5
4.750000E-9	-1.644710E-4
4.800000E-9	-1.713240E-4
4.850000E-9	-8.566200E-5
4.900000E-9	8.223552E-5
4.950000E-9	2.775449E-4
5.000000E-9	5.208249E-4
5.050000E-9	8.429141E-4
5.100000E-9	1.144444E-3
5.150000E-9	1.394577E-3
5.200000E-9	1.672122E-3
5.250000E-9	1.846873E-3
5.300000E-9	1.798902E-3
5.350000E-9	1.675549E-3
5.400000E-9	1.576181E-3
5.450000E-9	1.312342E-3
5.500000E-9	8.703259E-4
5.550000E-9	4.694277E-4
5.600000E-9	1.027944E-4
5.650000E-9	-2.878243E-4
5.700000E-9	-6.099134E-4
5.750000E-9	-8.737524E-4
5.800000E-9	-1.192415E-3
5.850000E-9	-1.487092E-3
5.900000E-9	-1.637857E-3
5.950000E-9	-1.723519E-3
6.000000E-9	-1.798902E-3
6.050000E-9	-1.812608E-3
6.100000E-9	-1.754358E-3
6.150000E-9	-1.668696E-3
6.200000E-9	-1.555622E-3
6.250000E-9	-1.442548E-3
6.300000E-9	-1.295209E-3
6.350000E-9	-1.017665E-3
6.400000E-9	-7.161343E-4
6.450000E-9	-5.585162E-4
6.500000E-9	-4.180305E-4
6.550000E-9	-1.404857E-4
6.600000E-9	1.130738E-4
6.650000E-9	1.816034E-4
6.700000E-9	1.541916E-4
6.750000E-9	9.936792E-5
6.800000E-9	-5.825016E-5
6.850000E-9	-3.083832E-4
6.900000E-9	-5.653692E-4
6.950000E-9	-8.120757E-4
7.000000E-9	-1.055356E-3
7.050000E-9	-1.288356E-3
7.100000E-9	-1.452827E-3
7.150000E-9	-1.514504E-3
7.200000E-9	-1.500798E-3
7.250000E-9	-1.459680E-3
7.300000E-9	-1.363739E-3
7.350000E-9	-1.188989E-3
7.400000E-9	-9.799733E-4
7.450000E-9	-7.435461E-4
7.500000E-9	-3.666334E-4
7.550000E-9	1.884564E-4
7.600000E-9	8.806053E-4
7.650000E-9	1.774917E-3
7.700000E-9	3.001596E-3
7.750000E-9	4.656586E-3
7.800000E-9	6.760445E-3
7.850000E-9	9.320025E-3
7.900000E-9	1.234903E-2
7.950000E-9	1.586460E-2
8.000000E-9	1.983932E-2
8.050000E-9	2.414983E-2
8.100000E-9	2.872075E-2
8.150000E-9	3.345958E-2
8.200000E-9	3.819155E-2
8.250000E-9	4.275904E-2
8.300000E-9	4.717235E-2
8.350000E-9	5.130126E-2
8.400000E-9	5.494361E-2
8.450000E-9	5.817478E-2
8.500000E-9	6.118323E-2
8.550000E-9	6.382161E-2
8.600000E-9	6.592890E-2
8.650000E-9	6.775864E-2
8.700000E-9	6.950957E-2
8.750000E-9	7.098638E-2
8.800000E-9	7.210342E-2
8.850000E-9	7.302171E-2
8.900000E-9	7.373785E-2
8.950000E-9	7.406679E-2
9.000000E-9	7.401197E-2
9.050000E-9	7.359394E-2
9.100000E-9	7.268934E-2
9.150000E-9	7.129134E-2
9.200000E-9	6.951300E-2
9.250000E-9	6.734061E-2
9.300000E-9	6.480159E-2
9.350000E-9	6.210152E-2
9.400000E-9	5.936719E-2
9.450000E-9	5.658832E-2
9.500000E-9	5.388482E-2
9.550000E-9	5.143146E-2
9.600000E-9	4.930019E-2
9.650000E-9	4.754241E-2
9.700000E-9	4.619923E-2
9.750000E-9	4.523296E-2
9.800000E-9	4.466417E-2
9.850000E-9	4.455452E-2
9.900000E-9	4.481836E-2
9.950000E-9	4.531520E-2
1.000000E-8	4.608615E-2
1.005000E-8	4.715179E-2
1.010000E-8	4.841273E-2
1.015000E-8	4.983815E-2
1.020000E-8	5.144860E-2
1.025000E-8	5.314813E-2
1.030000E-8	5.486822E-2
1.035000E-8	5.662943E-2
1.040000E-8	5.840092E-2
1.045000E-8	6.009018E-2
1.050000E-8	6.164580E-2
1.055000E-8	6.303352E-2
1.060000E-8	6.424307E-2
1.065000E-8	6.525046E-2
1.070000E-8	6.600086E-2
1.075000E-8	6.639490E-2
1.080000E-8	6.645658E-2
1.085000E-8	6.627155E-2
1.090000E-8	6.580212E-2
1.095000E-8	6.493179E-2
1.100000E-8	6.365714E-2
1.105000E-8	6.208782E-2
1.110000E-8	6.034031E-2
1.115000E-8	5.841463E-2
1.120000E-8	5.623881E-2
1.125000E-8	5.386426E-2
1.130000E-8	5.150342E-2
1.135000E-8	4.921796E-2
1.140000E-8	4.687767E-2
1.145000E-8	4.459906E-2
1.150000E-8	4.270422E-2
1.155000E-8	4.115888E-2
1.160000E-8	3.973346E-2
1.165000E-8	3.854105E-2
1.170000E-8	3.780778E-2
1.175000E-8	3.740688E-2
1.180000E-8	3.717045E-2
1.185000E-8	3.725612E-2
1.190000E-8	3.777351E-2
1.195000E-8	3.858559E-2
1.200000E-8	3.967178E-2
1.205000E-8	4.109035E-2
1.210000E-8	4.276932E-2
1.215000E-8	4.468472E-2
1.220000E-8	4.687425E-2
1.225000E-8	4.922824E-2
1.230000E-8	5.163705E-2
1.235000E-8	5.406300E-2
1.240000E-8	5.638273E-2
1.245000E-8	5.847631E-2
1.250000E-8	6.031975E-2
1.255000E-8	6.178629E-2
1.260000E-8	6.270116E-2
1.265000E-8	6.312604E-2
1.270000E-8	6.319457E-2
1.275000E-8	6.277996E-2
1.280000E-8	6.181027E-2
1.285000E-8	6.042597E-2
1.290000E-8	5.877784E-2
1.295000E-8	5.686586E-2
1.300000E-8	5.465921E-2
1.305000E-8	5.217844E-2
1.310000E-8	4.962228E-2
1.315000E-8	4.713123E-2
1.320000E-8	4.469158E-2
1.325000E-8	4.225192E-2
1.330000E-8	3.994933E-2
1.335000E-8	3.791400E-2
1.340000E-8	3.620076E-2
1.345000E-8	3.484387E-2
1.350000E-8	3.391187E-2
1.355000E-8	3.338419E-2
1.360000E-8	3.323686E-2
1.365000E-8	3.352468E-2
1.370000E-8	3.422368E-2
1.375000E-8	3.518995E-2
1.380000E-8	3.634810E-2
1.385000E-8	3.776324E-2
1.390000E-8	3.943193E-2
1.395000E-8	4.127880E-2
1.400000E-8	4.326959E-2
1.405000E-8	4.533918E-2
1.410000E-8	4.741563E-2
1.415000E-8	4.949893E-2
1.420000E-8	5.153083E-2
1.425000E-8	5.335372E-2
1.430000E-8	5.492305E-2
1.435000E-8	5.627651E-2
1.440000E-8	5.734557E-2
1.445000E-8	5.800003E-2
1.450000E-8	5.822275E-2
1.455000E-8	5.806170E-2
1.460000E-8	5.753402E-2
1.465000E-8	5.667055E-2
1.470000E-8	5.549527E-2
1.475000E-8	5.408013E-2
1.480000E-8	5.251080E-2
1.485000E-8	5.082155E-2
1.490000E-8	4.897125E-2
1.495000E-8	4.698047E-2
1.500000E-8	4.491430E-2
1.505000E-8	4.276590E-2
1.510000E-8	4.055924E-2
1.515000E-8	3.834574E-2
1.520000E-8	3.616307E-2
1.525000E-8	3.409005E-2
1.530000E-8	3.223290E-2
1.535000E-8	3.065329E-2
1.540000E-8	2.942661E-2
1.545000E-8	2.866936E-2
1.550000E-8	2.841922E-2
1.555000E-8	2.864880E-2
1.560000E-8	2.936493E-2
1.565000E-8	3.055049E-2
1.570000E-8	3.217122E-2
1.575000E-8	3.417228E-2
1.580000E-8	3.635838E-2
1.585000E-8	3.859930E-2
1.590000E-8	4.092588E-2
1.595000E-8	4.324218E-2
1.600000E-8	4.527751E-2
1.605000E-8	4.701130E-2
1.610000E-8	4.861147E-2
1.615000E-8	4.997864E-2
1.620000E-8	5.091749E-2
1.625000E-8	5.146573E-2
1.630000E-8	5.182551E-2
1.635000E-8	5.202767E-2
1.640000E-8	5.196257E-2
1.645000E-8	5.159936E-2
1.650000E-8	5.106483E-2
1.655000E-8	5.042750E-2
1.660000E-8	4.956061E-2
1.665000E-8	4.836819E-2
1.670000E-8	4.695991E-2
1.675000E-8	4.539401E-2
1.680000E-8	4.358825E-2
1.685000E-8	4.153922E-2
1.690000E-8	3.936683E-2
1.695000E-8	3.720129E-2
1.700000E-8	3.509401E-2
1.705000E-8	3.307238E-2
1.710000E-8	3.117411E-2
1.715000E-8	2.951570E-2
1.720000E-8	2.819650E-2
1.725000E-8	2.717199E-2
1.730000E-8	2.646613E-2
1.735000E-8	2.625369E-2
1.740000E-8	2.652438E-2
1.745000E-8	2.705206E-2
1.750000E-8	2.779561E-2
1.755000E-8	2.888523E-2
1.760000E-8	3.025239E-2
1.765000E-8	3.171892E-2
1.770000E-8	3.330538E-2
1.775000E-8	3.501862E-2
1.780000E-8	3.667704E-2
1.785000E-8	3.826350E-2
1.790000E-8	3.990821E-2
1.795000E-8	4.154264E-2
1.800000E-8	4.301603E-2
1.805000E-8	4.438662E-2
1.810000E-8	4.570924E-2
1.815000E-8	4.687425E-2
1.820000E-8	4.781310E-2
1.825000E-8	4.851896E-2
1.830000E-8	4.894384E-2
1.835000E-8	4.910146E-2
1.840000E-8	4.896440E-2
1.845000E-8	4.839218E-2
1.850000E-8	4.739164E-2
1.855000E-8	4.609301E-2
1.860000E-8	4.441061E-2
1.865000E-8	4.227934E-2
1.870000E-8	3.998017E-2
1.875000E-8	3.771869E-2
1.880000E-8	3.541952E-2
1.885000E-8	3.310665E-2
1.890000E-8	3.095825E-2
1.895000E-8	2.899145E-2
1.900000E-8	2.723024E-2
1.905000E-8	2.576713E-2
1.910000E-8	2.459185E-2
1.915000E-8	2.365299E-2
1.920000E-8	2.304993E-2
1.925000E-8	2.287175E-2
1.930000E-8	2.309105E-2
1.935000E-8	2.364614E-2
1.940000E-8	2.451304E-2
1.945000E-8	2.569175E-2
1.950000E-8	2.717884E-2
1.955000E-8	2.890578E-2
1.960000E-8	3.075608E-2
1.965000E-8	3.271946E-2
1.970000E-8	3.482332E-2
1.975000E-8	3.699570E-2
1.980000E-8	3.909956E-2
1.985000E-8	4.100469E-2
1.990000E-8	4.265282E-2
1.995000E-8	4.403027E-2
2.000000E-8	4.510618E-2
2.005000E-8	4.581546E-2
2.010000E-8	4.612385E-2
2.015000E-8	4.604161E-2
2.020000E-8	4.555505E-2
2.025000E-8	4.464018E-2
2.030000E-8	4.339294E-2
2.035000E-8	4.191956E-2
2.040000E-8	4.020632E-2
2.045000E-8	3.823609E-2
2.050000E-8	3.612538E-2
2.055000E-8	3.405578E-2
2.060000E-8	3.201703E-2
2.065000E-8	2.992688E-2
2.070000E-8	2.787441E-2
2.075000E-8	2.606866E-2
2.080000E-8	2.445479E-2
2.085000E-8	2.284777E-2
2.090000E-8	2.138123E-2
2.095000E-8	2.028133E-2
2.100000E-8	1.942471E-2
2.105000E-8	1.873942E-2
2.110000E-8	1.847901E-2
2.115000E-8	1.871543E-2
2.120000E-8	1.920542E-2
2.125000E-8	2.000722E-2
2.130000E-8	2.136753E-2
2.135000E-8	2.311161E-2
2.140000E-8	2.493449E-2
2.145000E-8	2.691843E-2
2.150000E-8	2.913879E-2
2.155000E-8	3.134201E-2
2.160000E-8	3.335678E-2
2.165000E-8	3.525505E-2
2.170000E-8	3.700256E-2
2.175000E-8	3.846909E-2
2.180000E-8	3.963067E-2
2.185000E-8	4.049414E-2
2.190000E-8	4.107664E-2
2.195000E-8	4.143642E-2
2.200000E-8	4.153236E-2
2.205000E-8	4.124454E-2
2.210000E-8	4.068945E-2
2.215000E-8	4.000758E-2
2.220000E-8	3.904817E-2
2.225000E-8	3.777009E-2
2.230000E-8	3.637208E-2
2.235000E-8	3.487129E-2
2.240000E-8	3.313406E-2
2.245000E-8	3.124264E-2
2.250000E-8	2.929640E-2
2.255000E-8	2.720968E-2
2.260000E-8	2.500645E-2
2.265000E-8	2.286147E-2
2.270000E-8	2.083300E-2
2.275000E-8	1.894501E-2
2.280000E-8	1.734141E-2
2.285000E-8	1.605648E-2
2.290000E-8	1.507994E-2
2.295000E-8	1.453513E-2
2.300000E-8	1.450429E-2
2.305000E-8	1.490861E-2
2.310000E-8	1.576181E-2
2.315000E-8	1.712212E-2
2.320000E-8	1.884221E-2
2.325000E-8	2.077817E-2
2.330000E-8	2.297112E-2
2.335000E-8	2.528057E-2
2.340000E-8	2.743240E-2
2.345000E-8	2.947115E-2
2.350000E-8	3.154417E-2
2.355000E-8	3.349384E-2
2.360000E-8	3.513512E-2
2.365000E-8	3.653656E-2
2.370000E-8	3.772897E-2
2.375000E-8	3.861300E-2
2.380000E-8	3.916467E-2
2.385000E-8	3.945592E-2
2.390000E-8	3.951417E-2
2.395000E-8	3.932228E-2
2.400000E-8	3.881174E-2
