Study Name	Ni_beamline_2018_02_02
Sample Name	31MeV_Ni_in_Ni
Run Name	run02
Operator	Cody
Date	2/2/2018
Time	2:41 PM
Sign	FIX
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	190
dt	50.000001E-12
time stamp (ms)	5:52:03 PM
	
Time	Amplitude
0.000000E+0	-2.117565E-3
5.000000E-11	-1.867432E-3
1.000000E-10	-1.528210E-3
1.500000E-10	-9.936792E-4
2.000000E-10	-3.940452E-4
2.500000E-10	5.139720E-5
3.000000E-10	4.248835E-4
3.500000E-10	8.326346E-4
4.000000E-10	1.120459E-3
4.500000E-10	1.182136E-3
5.000000E-10	1.127312E-3
5.500000E-10	1.031370E-3
6.000000E-10	8.840318E-4
6.500000E-10	6.715901E-4
7.000000E-10	4.077511E-4
7.500000E-10	2.124418E-4
8.000000E-10	1.781770E-4
8.500000E-10	1.850299E-4
9.000000E-10	1.267798E-4
9.500000E-10	9.936792E-5
1.000000E-9	1.610446E-4
1.050000E-9	2.295742E-4
1.100000E-9	2.569860E-4
1.150000E-9	2.604125E-4
1.200000E-9	2.741184E-4
1.250000E-9	3.083832E-4
1.300000E-9	3.255156E-4
1.350000E-9	3.152362E-4
1.400000E-9	3.426480E-4
1.450000E-9	4.385894E-4
1.500000E-9	4.968396E-4
1.550000E-9	5.276779E-4
1.600000E-9	6.476047E-4
1.650000E-9	8.223552E-4
1.700000E-9	9.217231E-4
1.750000E-9	9.731203E-4
1.800000E-9	1.031370E-3
1.850000E-9	1.045076E-3
1.900000E-9	1.014238E-3
1.950000E-9	1.031370E-3
2.000000E-9	1.110179E-3
2.050000E-9	1.223253E-3
2.100000E-9	1.384298E-3
2.150000E-9	1.607019E-3
2.200000E-9	1.822887E-3
2.250000E-9	1.956520E-3
2.300000E-9	1.970226E-3
2.350000E-9	1.901696E-3
2.400000E-9	1.795475E-3
2.450000E-9	1.627578E-3
2.500000E-9	1.322621E-3
2.550000E-9	8.943113E-4
2.600000E-9	4.454424E-4
2.650000E-9	6.852960E-6
2.700000E-9	-4.694277E-4
2.750000E-9	-9.148701E-4
2.800000E-9	-1.230106E-3
2.850000E-9	-1.463107E-3
2.900000E-9	-1.596740E-3
2.950000E-9	-1.538489E-3
3.000000E-9	-1.380871E-3
3.050000E-9	-1.188989E-3
3.100000E-9	-8.531935E-4
3.150000E-9	-4.420159E-4
3.200000E-9	-1.987358E-4
3.250000E-9	-4.454424E-5
3.300000E-9	1.541916E-4
3.350000E-9	2.295742E-4
3.400000E-9	1.439122E-4
3.450000E-9	8.223552E-5
3.500000E-9	-2.741184E-5
3.550000E-9	-2.775449E-4
3.600000E-9	-5.105455E-4
3.650000E-9	-7.435461E-4
3.700000E-9	-1.137591E-3
3.750000E-9	-1.504225E-3
3.800000E-9	-1.682402E-3
3.850000E-9	-1.870858E-3
3.900000E-9	-2.097006E-3
3.950000E-9	-2.144976E-3
4.000000E-9	-2.059314E-3
4.050000E-9	-1.980505E-3
4.100000E-9	-1.833167E-3
4.150000E-9	-1.576181E-3
4.200000E-9	-1.271224E-3
4.250000E-9	-9.251496E-4
4.300000E-9	-5.585162E-4
4.350000E-9	-2.638390E-4
4.400000E-9	-3.426480E-5
4.450000E-9	1.781770E-4
4.500000E-9	2.981038E-4
4.550000E-9	2.775449E-4
4.600000E-9	2.055888E-4
4.650000E-9	1.062209E-4
4.700000E-9	-2.055888E-5
4.750000E-9	-8.908848E-5
4.800000E-9	-4.797072E-5
4.850000E-9	3.083832E-5
4.900000E-9	1.439122E-4
4.950000E-9	3.015302E-4
5.000000E-9	4.557218E-4
5.050000E-9	5.996340E-4
5.100000E-9	6.784430E-4
5.150000E-9	5.756486E-4
5.200000E-9	3.255156E-4
5.250000E-9	2.055888E-5
5.300000E-9	-4.248835E-4
5.350000E-9	-1.069062E-3
5.400000E-9	-1.740652E-3
5.450000E-9	-2.357418E-3
5.500000E-9	-2.933067E-3
5.550000E-9	-3.303127E-3
5.600000E-9	-3.337391E-3
5.650000E-9	-3.190053E-3
5.700000E-9	-2.919361E-3
5.750000E-9	-2.425948E-3
5.800000E-9	-1.757784E-3
5.850000E-9	-1.096474E-3
5.900000E-9	-4.557218E-4
5.950000E-9	1.130738E-4
6.000000E-9	4.351629E-4
6.050000E-9	5.139720E-4
6.100000E-9	4.797072E-4
6.150000E-9	2.501330E-4
6.200000E-9	-1.953094E-4
6.250000E-9	-6.236193E-4
6.300000E-9	-9.217231E-4
6.350000E-9	-1.185562E-3
6.400000E-9	-1.421989E-3
6.450000E-9	-1.562475E-3
6.500000E-9	-1.607019E-3
6.550000E-9	-1.572754E-3
6.600000E-9	-1.548769E-3
6.650000E-9	-1.631004E-3
6.700000E-9	-1.816034E-3
6.750000E-9	-2.076447E-3
6.800000E-9	-2.463639E-3
6.850000E-9	-2.987890E-3
6.900000E-9	-3.532701E-3
6.950000E-9	-4.005555E-3
7.000000E-9	-4.358482E-3
7.050000E-9	-4.557218E-3
7.100000E-9	-4.581204E-3
7.150000E-9	-4.399600E-3
7.200000E-9	-3.991849E-3
7.250000E-9	-3.381936E-3
7.300000E-9	-2.645242E-3
7.350000E-9	-1.840020E-3
7.400000E-9	-9.936792E-4
7.450000E-9	-1.644710E-4
7.500000E-9	5.687957E-4
7.550000E-9	1.209547E-3
7.600000E-9	1.908549E-3
7.650000E-9	2.748037E-3
7.700000E-9	3.721157E-3
7.750000E-9	4.964969E-3
7.800000E-9	6.698768E-3
7.850000E-9	8.977377E-3
7.900000E-9	1.175625E-2
7.950000E-9	1.507651E-2
8.000000E-9	1.898270E-2
8.050000E-9	2.341999E-2
8.100000E-9	2.830615E-2
8.150000E-9	3.346643E-2
8.200000E-9	3.865755E-2
8.250000E-9	4.376643E-2
8.300000E-9	4.870056E-2
8.350000E-9	5.320638E-2
8.400000E-9	5.712627E-2
8.450000E-9	6.057331E-2
8.500000E-9	6.358519E-2
8.550000E-9	6.610365E-2
8.600000E-9	6.816639E-2
8.650000E-9	6.989334E-2
8.700000E-9	7.130162E-2
8.750000E-9	7.245292E-2
8.800000E-9	7.346373E-2
8.850000E-9	7.430322E-2
8.900000E-9	7.485145E-2
8.950000E-9	7.513242E-2
9.000000E-9	7.519068E-2
9.050000E-9	7.490285E-2
9.100000E-9	7.410448E-2
9.150000E-9	7.279557E-2
9.200000E-9	7.105834E-2
9.250000E-9	6.887910E-2
9.300000E-9	6.629553E-2
9.350000E-9	6.348925E-2
9.400000E-9	6.063499E-2
9.450000E-9	5.781157E-2
9.500000E-9	5.509780E-2
9.550000E-9	5.271297E-2
9.600000E-9	5.081470E-2
9.650000E-9	4.931733E-2
9.700000E-9	4.814890E-2
9.750000E-9	4.743961E-2
9.800000E-9	4.721347E-2
9.850000E-9	4.731283E-2
9.900000E-9	4.768632E-2
9.950000E-9	4.839560E-2
1.000000E-8	4.934474E-2
1.005000E-8	5.041723E-2
1.010000E-8	5.166789E-2
1.015000E-8	5.313100E-2
1.020000E-8	5.466263E-2
1.025000E-8	5.622854E-2
1.030000E-8	5.790751E-2
1.035000E-8	5.966872E-2
1.040000E-8	6.141623E-2
1.045000E-8	6.315688E-2
1.050000E-8	6.486326E-2
1.055000E-8	6.638805E-2
1.060000E-8	6.767640E-2
1.065000E-8	6.879001E-2
1.070000E-8	6.970831E-2
1.075000E-8	7.031137E-2
1.080000E-8	7.053752E-2
1.085000E-8	7.042444E-2
1.090000E-8	6.997900E-2
1.095000E-8	6.914636E-2
1.100000E-8	6.790255E-2
1.105000E-8	6.629553E-2
1.110000E-8	6.439041E-2
1.115000E-8	6.220089E-2
1.120000E-8	5.984005E-2
1.125000E-8	5.750661E-2
1.130000E-8	5.519716E-2
1.135000E-8	5.286716E-2
1.140000E-8	5.066051E-2
1.145000E-8	4.868685E-2
1.150000E-8	4.687082E-2
1.155000E-8	4.519527E-2
1.160000E-8	4.375957E-2
1.165000E-8	4.255345E-2
1.170000E-8	4.159747E-2
1.175000E-8	4.097727E-2
1.180000E-8	4.068602E-2
1.185000E-8	4.071343E-2
1.190000E-8	4.116230E-2
1.195000E-8	4.211144E-2
1.200000E-8	4.356427E-2
1.205000E-8	4.545911E-2
1.210000E-8	4.766576E-2
1.215000E-8	5.006430E-2
1.220000E-8	5.263073E-2
1.225000E-8	5.527255E-2
1.230000E-8	5.781500E-2
1.235000E-8	6.017241E-2
1.240000E-8	6.229683E-2
1.245000E-8	6.410601E-2
1.250000E-8	6.546975E-2
1.255000E-8	6.632637E-2
1.260000E-8	6.677181E-2
1.265000E-8	6.690887E-2
1.270000E-8	6.667930E-2
1.275000E-8	6.597344E-2
1.280000E-8	6.489753E-2
1.285000E-8	6.355092E-2
1.290000E-8	6.195761E-2
1.295000E-8	6.013472E-2
1.300000E-8	5.809254E-2
1.305000E-8	5.580708E-2
1.310000E-8	5.331260E-2
1.315000E-8	5.075645E-2
1.320000E-8	4.822428E-2
1.325000E-8	4.572980E-2
1.330000E-8	4.339979E-2
1.335000E-8	4.135761E-2
1.340000E-8	3.955871E-2
1.345000E-8	3.794826E-2
1.350000E-8	3.669760E-2
1.355000E-8	3.590951E-2
1.360000E-8	3.548805E-2
1.365000E-8	3.532701E-2
1.370000E-8	3.549833E-2
1.375000E-8	3.608769E-2
1.380000E-8	3.705053E-2
1.385000E-8	3.830462E-2
1.390000E-8	3.984996E-2
1.395000E-8	4.172425E-2
1.400000E-8	4.387265E-2
1.405000E-8	4.624035E-2
1.410000E-8	4.875881E-2
1.415000E-8	5.127727E-2
1.420000E-8	5.366895E-2
1.425000E-8	5.590302E-2
1.430000E-8	5.790066E-2
1.435000E-8	5.950082E-2
1.440000E-8	6.058702E-2
1.445000E-8	6.114553E-2
1.450000E-8	6.116952E-2
1.455000E-8	6.068296E-2
1.460000E-8	5.975781E-2
1.465000E-8	5.848659E-2
1.470000E-8	5.687614E-2
1.475000E-8	5.497444E-2
1.480000E-8	5.298023E-2
1.485000E-8	5.101001E-2
1.490000E-8	4.894384E-2
1.495000E-8	4.676460E-2
1.500000E-8	4.470528E-2
1.505000E-8	4.279331E-2
1.510000E-8	4.087448E-2
1.515000E-8	3.901390E-2
1.520000E-8	3.730751E-2
1.525000E-8	3.569021E-2
1.530000E-8	3.421340E-2
1.535000E-8	3.305525E-2
1.540000E-8	3.220548E-2
1.545000E-8	3.160585E-2
1.550000E-8	3.140026E-2
1.555000E-8	3.164697E-2
1.560000E-8	3.223632E-2
1.565000E-8	3.322658E-2
1.570000E-8	3.469654E-2
1.575000E-8	3.651942E-2
1.580000E-8	3.855818E-2
1.585000E-8	4.081280E-2
1.590000E-8	4.322504E-2
1.595000E-8	4.563386E-2
1.600000E-8	4.793303E-2
1.605000E-8	5.006430E-2
1.610000E-8	5.198998E-2
1.615000E-8	5.364497E-2
1.620000E-8	5.496416E-2
1.625000E-8	5.587903E-2
1.630000E-8	5.642727E-2
1.635000E-8	5.666712E-2
1.640000E-8	5.654720E-2
1.645000E-8	5.601267E-2
1.650000E-8	5.518003E-2
1.655000E-8	5.410754E-2
1.660000E-8	5.274381E-2
1.665000E-8	5.112308E-2
1.670000E-8	4.937215E-2
1.675000E-8	4.748759E-2
1.680000E-8	4.546939E-2
1.685000E-8	4.341693E-2
1.690000E-8	4.139873E-2
1.695000E-8	3.939081E-2
1.700000E-8	3.742059E-2
1.705000E-8	3.555658E-2
1.710000E-8	3.386733E-2
1.715000E-8	3.243849E-2
1.720000E-8	3.125635E-2
1.725000E-8	3.024554E-2
1.730000E-8	2.951570E-2
1.735000E-8	2.916620E-2
1.740000E-8	2.911137E-2
1.745000E-8	2.930326E-2
1.750000E-8	2.980695E-2
1.755000E-8	3.056077E-2
1.760000E-8	3.149620E-2
1.765000E-8	3.275029E-2
1.770000E-8	3.435046E-2
1.775000E-8	3.609454E-2
1.780000E-8	3.791400E-2
1.785000E-8	3.990136E-2
1.790000E-8	4.198123E-2
1.795000E-8	4.404397E-2
1.800000E-8	4.607588E-2
1.805000E-8	4.801184E-2
1.810000E-8	4.974906E-2
1.815000E-8	5.121902E-2
1.820000E-8	5.227780E-2
1.825000E-8	5.288086E-2
1.830000E-8	5.314128E-2
1.835000E-8	5.298366E-2
1.840000E-8	5.220927E-2
1.845000E-8	5.094148E-2
1.850000E-8	4.944068E-2
1.855000E-8	4.766576E-2
1.860000E-8	4.554820E-2
1.865000E-8	4.322162E-2
1.870000E-8	4.077168E-2
1.875000E-8	3.823266E-2
1.880000E-8	3.571763E-2
1.885000E-8	3.327797E-2
1.890000E-8	3.094111E-2
1.895000E-8	2.885096E-2
1.900000E-8	2.710003E-2
1.905000E-8	2.564035E-2
1.910000E-8	2.446507E-2
1.915000E-8	2.368383E-2
1.920000E-8	2.332405E-2
1.925000E-8	2.333775E-2
1.930000E-8	2.371809E-2
1.935000E-8	2.452332E-2
1.940000E-8	2.569860E-2
1.945000E-8	2.711716E-2
1.950000E-8	2.877558E-2
1.955000E-8	3.074580E-2
1.960000E-8	3.295246E-2
1.965000E-8	3.518995E-2
1.970000E-8	3.741031E-2
1.975000E-8	3.969234E-2
1.980000E-8	4.193326E-2
1.985000E-8	4.393433E-2
1.990000E-8	4.564414E-2
1.995000E-8	4.706613E-2
2.000000E-8	4.817631E-2
2.005000E-8	4.893356E-2
2.010000E-8	4.926935E-2
2.015000E-8	4.915971E-2
2.020000E-8	4.871769E-2
2.025000E-8	4.802554E-2
2.030000E-8	4.701130E-2
2.035000E-8	4.568526E-2
2.040000E-8	4.412278E-2
2.045000E-8	4.231703E-2
2.050000E-8	4.024401E-2
2.055000E-8	3.801679E-2
2.060000E-8	3.571763E-2
2.065000E-8	3.330196E-2
2.070000E-8	3.085888E-2
2.075000E-8	2.852887E-2
2.080000E-8	2.636676E-2
2.085000E-8	2.442738E-2
2.090000E-8	2.283406E-2
2.095000E-8	2.162109E-2
2.100000E-8	2.082272E-2
2.105000E-8	2.050063E-2
2.110000E-8	2.067881E-2
2.115000E-8	2.129215E-2
2.120000E-8	2.232009E-2
2.125000E-8	2.372837E-2
2.130000E-8	2.539707E-2
2.135000E-8	2.724737E-2
2.140000E-8	2.924158E-2
2.145000E-8	3.125292E-2
2.150000E-8	3.320259E-2
2.155000E-8	3.506660E-2
2.160000E-8	3.678669E-2
2.165000E-8	3.830805E-2
2.170000E-8	3.969234E-2
2.175000E-8	4.091217E-2
2.180000E-8	4.191270E-2
2.185000E-8	4.273848E-2
2.190000E-8	4.338952E-2
2.195000E-8	4.378013E-2
2.200000E-8	4.395146E-2
2.205000E-8	4.391719E-2
2.210000E-8	4.350944E-2
2.215000E-8	4.270422E-2
2.220000E-8	4.165229E-2
2.225000E-8	4.031596E-2
2.230000E-8	3.860272E-2
2.235000E-8	3.664278E-2
2.240000E-8	3.452864E-2
2.245000E-8	3.223632E-2
2.250000E-8	2.992002E-2
2.255000E-8	2.775449E-2
2.260000E-8	2.567461E-2
2.265000E-8	2.367012E-2
2.270000E-8	2.188835E-2
2.275000E-8	2.044581E-2
2.280000E-8	1.933563E-2
2.285000E-8	1.852355E-2
2.290000E-8	1.797189E-2
2.295000E-8	1.768749E-2
2.300000E-8	1.771147E-2
2.305000E-8	1.798559E-2
2.310000E-8	1.850984E-2
2.315000E-8	1.940416E-2
2.320000E-8	2.068909E-2
2.325000E-8	2.223785E-2
2.330000E-8	2.408815E-2
2.335000E-8	2.629138E-2
2.340000E-8	2.870362E-2
2.345000E-8	3.116726E-2
2.350000E-8	3.361719E-2
2.355000E-8	3.595063E-2
2.360000E-8	3.808532E-2
2.365000E-8	3.994590E-2
2.370000E-8	4.139873E-2
2.375000E-8	4.238213E-2
2.380000E-8	4.295435E-2
2.385000E-8	4.309826E-2
2.390000E-8	4.275904E-2
2.395000E-8	4.203948E-2
2.400000E-8	4.106979E-2
2.405000E-8	3.987052E-2
