Study Name	Ni_calibration_001
Sample Name	2017-11-16
Run Name	30_deg
Operator	Cody
Date	11/16/2017
Time	11:58 AM
Sign	FIX
Grating Spacing	05.20um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:01:16 PM
	
Time	Amplitude
0.000000E+0	-7.194608E-4
5.000000E-11	-8.736310E-4
1.000000E-10	-9.335861E-4
1.500000E-10	-9.335861E-4
2.000000E-10	-8.650660E-4
2.500000E-10	-6.595058E-4
3.000000E-10	-3.682954E-4
3.500000E-10	-1.027801E-4
4.000000E-10	1.713002E-4
4.500000E-10	4.796406E-4
5.000000E-10	7.537209E-4
5.500000E-10	9.849761E-4
6.000000E-10	1.216231E-3
6.500000E-10	1.361837E-3
7.000000E-10	1.387532E-3
7.500000E-10	1.319012E-3
8.000000E-10	1.173406E-3
8.500000E-10	1.019236E-3
9.000000E-10	9.250211E-4
9.500000E-10	8.222410E-4
1.000000E-9	6.338107E-4
1.050000E-9	4.796406E-4
1.100000E-9	4.882056E-4
1.150000E-9	5.395956E-4
1.200000E-9	5.310306E-4
1.250000E-9	5.310306E-4
1.300000E-9	5.652907E-4
1.350000E-9	5.824207E-4
1.400000E-9	5.738557E-4
1.450000E-9	5.310306E-4
1.500000E-9	4.025555E-4
1.550000E-9	1.884302E-4
1.600000E-9	0.000000E+0
1.650000E-9	-1.284751E-4
1.700000E-9	-2.483853E-4
1.750000E-9	-4.025555E-4
1.800000E-9	-4.967706E-4
1.850000E-9	-4.710755E-4
1.900000E-9	-4.025555E-4
1.950000E-9	-3.511654E-4
2.000000E-9	-2.997753E-4
2.050000E-9	-2.740803E-4
2.100000E-9	-2.569503E-4
2.150000E-9	-1.713002E-4
2.200000E-9	-8.565010E-5
2.250000E-9	-1.113451E-4
2.300000E-9	-1.199101E-4
2.350000E-9	-6.852008E-5
2.400000E-9	-1.713002E-5
2.450000E-9	-3.426004E-5
2.500000E-9	-8.565010E-6
2.550000E-9	6.852008E-5
2.600000E-9	1.969952E-4
2.650000E-9	4.111205E-4
2.700000E-9	6.166807E-4
2.750000E-9	7.622859E-4
2.800000E-9	8.907610E-4
2.850000E-9	1.010671E-3
2.900000E-9	1.070626E-3
2.950000E-9	1.139146E-3
3.000000E-9	1.216231E-3
3.050000E-9	1.199101E-3
3.100000E-9	1.122016E-3
3.150000E-9	1.079191E-3
3.200000E-9	1.027801E-3
3.250000E-9	9.335861E-4
3.300000E-9	8.650660E-4
3.350000E-9	8.565010E-4
3.400000E-9	8.308060E-4
