Study Name	Ni_calibration_001
Sample Name	2017-11-16
Run Name	30_deg
Operator	Cody
Date	11/16/2017
Time	11:58 AM
Sign	NEG
Grating Spacing	05.20um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:01:16 PM
	
Time	Amplitude
0.000000E+0	8.393710E-4
5.000000E-11	8.650660E-4
1.000000E-10	8.650660E-4
1.500000E-10	8.736310E-4
2.000000E-10	8.136759E-4
2.500000E-10	6.852008E-4
3.000000E-10	5.481606E-4
3.500000E-10	4.025555E-4
4.000000E-10	2.312553E-4
4.500000E-10	6.852008E-5
5.000000E-10	-5.995507E-5
5.500000E-10	-1.884302E-4
6.000000E-10	-3.340354E-4
6.500000E-10	-4.282505E-4
7.000000E-10	-4.453805E-4
7.500000E-10	-4.025555E-4
8.000000E-10	-3.254704E-4
8.500000E-10	-2.740803E-4
9.000000E-10	-2.655153E-4
9.500000E-10	-2.483853E-4
1.000000E-9	-1.798652E-4
1.050000E-9	-9.421511E-5
1.100000E-9	-5.139006E-5
1.150000E-9	-5.139006E-5
1.200000E-9	-6.852008E-5
1.250000E-9	-1.113451E-4
1.300000E-9	-1.627352E-4
1.350000E-9	-1.627352E-4
1.400000E-9	-1.199101E-4
1.450000E-9	-9.421511E-5
1.500000E-9	-4.282505E-5
1.550000E-9	7.708509E-5
1.600000E-9	2.055602E-4
1.650000E-9	2.826453E-4
1.700000E-9	3.426004E-4
1.750000E-9	4.111205E-4
1.800000E-9	4.282505E-4
1.850000E-9	3.939905E-4
1.900000E-9	3.768604E-4
1.950000E-9	3.511654E-4
2.000000E-9	3.083404E-4
2.050000E-9	2.655153E-4
2.100000E-9	2.141252E-4
2.150000E-9	1.113451E-4
2.200000E-9	1.713002E-5
2.250000E-9	-2.569503E-5
2.300000E-9	-8.565010E-5
2.350000E-9	-1.456052E-4
2.400000E-9	-1.541702E-4
2.450000E-9	-1.284751E-4
2.500000E-9	-1.456052E-4
2.550000E-9	-1.627352E-4
2.600000E-9	-1.884302E-4
2.650000E-9	-2.655153E-4
2.700000E-9	-3.254704E-4
2.750000E-9	-3.340354E-4
2.800000E-9	-3.340354E-4
2.850000E-9	-3.597304E-4
2.900000E-9	-3.597304E-4
2.950000E-9	-3.939905E-4
3.000000E-9	-4.796406E-4
3.050000E-9	-5.310306E-4
3.100000E-9	-5.224656E-4
3.150000E-9	-5.224656E-4
3.200000E-9	-5.395956E-4
3.250000E-9	-5.481606E-4
3.300000E-9	-5.567256E-4
3.350000E-9	-5.909857E-4
