Study Name	Ni_calibration_001
Sample Name	2017-11-16
Run Name	05_deg
Operator	Cody
Date	11/16/2017
Time	12:18 PM
Sign	FIX
Grating Spacing	05.20um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:21:08 PM
	
Time	Amplitude
0.000000E+0	7.879809E-4
5.000000E-11	7.965459E-4
1.000000E-10	8.051109E-4
1.500000E-10	8.222410E-4
2.000000E-10	8.222410E-4
2.500000E-10	8.222410E-4
3.000000E-10	8.308060E-4
3.500000E-10	8.051109E-4
4.000000E-10	7.708509E-4
4.500000E-10	8.051109E-4
5.000000E-10	8.993260E-4
5.500000E-10	9.507161E-4
6.000000E-10	1.010671E-3
6.500000E-10	1.122016E-3
7.000000E-10	1.216231E-3
7.500000E-10	1.224796E-3
8.000000E-10	1.181971E-3
8.500000E-10	1.104886E-3
9.000000E-10	9.164561E-4
9.500000E-10	6.766358E-4
1.000000E-9	4.710755E-4
1.050000E-9	2.483853E-4
1.100000E-9	0.000000E+0
1.150000E-9	-1.798652E-4
1.200000E-9	-2.655153E-4
1.250000E-9	-2.912103E-4
1.300000E-9	-2.569503E-4
1.350000E-9	-1.456052E-4
1.400000E-9	-2.569503E-5
1.450000E-9	1.027801E-4
1.500000E-9	2.569503E-4
1.550000E-9	4.539455E-4
1.600000E-9	6.509408E-4
1.650000E-9	7.794159E-4
1.700000E-9	7.794159E-4
1.750000E-9	7.108958E-4
1.800000E-9	6.595058E-4
1.850000E-9	5.738557E-4
1.900000E-9	4.625105E-4
1.950000E-9	4.111205E-4
2.000000E-9	4.453805E-4
2.050000E-9	4.368155E-4
2.100000E-9	3.939905E-4
2.150000E-9	4.196855E-4
2.200000E-9	4.796406E-4
2.250000E-9	4.967706E-4
2.300000E-9	4.796406E-4
2.350000E-9	5.053356E-4
2.400000E-9	5.053356E-4
2.450000E-9	4.025555E-4
2.500000E-9	2.398203E-4
2.550000E-9	9.421511E-5
2.600000E-9	-2.569503E-5
2.650000E-9	-1.713002E-4
2.700000E-9	-3.426004E-4
2.750000E-9	-4.710755E-4
2.800000E-9	-5.652907E-4
2.850000E-9	-6.595058E-4
2.900000E-9	-7.537209E-4
2.950000E-9	-7.879809E-4
3.000000E-9	-7.451559E-4
3.050000E-9	-6.680708E-4
3.100000E-9	-5.995507E-4
3.150000E-9	-5.139006E-4
3.200000E-9	-4.111205E-4
3.250000E-9	-3.597304E-4
3.300000E-9	-2.997753E-4
3.350000E-9	-2.483853E-4
3.400000E-9	-2.398203E-4
3.450000E-9	-2.226903E-4
3.500000E-9	-1.884302E-4
3.550000E-9	-2.569503E-4
3.600000E-9	-4.196855E-4
3.650000E-9	-4.967706E-4
3.700000E-9	-4.453805E-4
3.750000E-9	-3.939905E-4
3.800000E-9	-4.111205E-4
3.850000E-9	-3.854254E-4
3.900000E-9	-2.912103E-4
3.950000E-9	-1.969952E-4
4.000000E-9	-1.199101E-4
4.050000E-9	0.000000E+0
4.100000E-9	1.884302E-4
4.150000E-9	3.254704E-4
4.200000E-9	3.426004E-4
4.250000E-9	3.169054E-4
4.300000E-9	3.083404E-4
4.350000E-9	2.226903E-4
4.400000E-9	8.565010E-5
4.450000E-9	-3.426004E-5
4.500000E-9	-1.199101E-4
4.550000E-9	-2.312553E-4
4.600000E-9	-3.340354E-4
4.650000E-9	-3.426004E-4
4.700000E-9	-2.997753E-4
4.750000E-9	-2.826453E-4
4.800000E-9	-1.798652E-4
4.850000E-9	-8.565010E-6
4.900000E-9	1.027801E-4
4.950000E-9	1.541702E-4
5.000000E-9	2.226903E-4
5.050000E-9	2.569503E-4
5.100000E-9	2.226903E-4
5.150000E-9	1.969952E-4
5.200000E-9	1.370402E-4
5.250000E-9	2.569503E-5
5.300000E-9	-5.995507E-5
5.350000E-9	-1.199101E-4
5.400000E-9	-2.398203E-4
5.450000E-9	-3.511654E-4
5.500000E-9	-3.682954E-4
5.550000E-9	-3.597304E-4
5.600000E-9	-3.768604E-4
5.650000E-9	-3.597304E-4
5.700000E-9	-2.997753E-4
5.750000E-9	-2.055602E-4
5.800000E-9	-1.027801E-4
5.850000E-9	0.000000E+0
5.900000E-9	7.708509E-5
5.950000E-9	1.713002E-4
6.000000E-9	2.826453E-4
6.050000E-9	3.426004E-4
6.100000E-9	3.682954E-4
6.150000E-9	3.597304E-4
6.200000E-9	3.426004E-4
6.250000E-9	3.169054E-4
6.300000E-9	2.826453E-4
6.350000E-9	2.141252E-4
6.400000E-9	8.565010E-5
6.450000E-9	-2.569503E-5
6.500000E-9	-1.456052E-4
6.550000E-9	-2.740803E-4
6.600000E-9	-3.254704E-4
6.650000E-9	-2.655153E-4
6.700000E-9	-2.055602E-4
6.750000E-9	-1.798652E-4
6.800000E-9	-6.852008E-5
6.850000E-9	9.421511E-5
6.900000E-9	1.456052E-4
6.950000E-9	9.421511E-5
7.000000E-9	-8.565010E-6
7.050000E-9	-1.370402E-4
7.100000E-9	-2.912103E-4
7.150000E-9	-3.854254E-4
7.200000E-9	-4.111205E-4
7.250000E-9	-4.710755E-4
