Study Name	Ni_calibration_001
Sample Name	2017-11-16
Run Name	25_deg
Operator	Cody
Date	11/16/2017
Time	12:02 PM
Sign	FIX
Grating Spacing	05.20um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:05:21 PM
	
Time	Amplitude
0.000000E+0	1.062061E-3
5.000000E-11	9.592811E-4
1.000000E-10	8.736310E-4
1.500000E-10	8.222410E-4
2.000000E-10	6.595058E-4
2.500000E-10	4.111205E-4
3.000000E-10	2.141252E-4
3.500000E-10	1.284751E-4
4.000000E-10	1.027801E-4
4.500000E-10	8.565010E-5
5.000000E-10	1.370402E-4
5.500000E-10	2.055602E-4
6.000000E-10	2.655153E-4
6.500000E-10	3.340354E-4
7.000000E-10	3.682954E-4
7.500000E-10	3.854254E-4
8.000000E-10	4.539455E-4
8.500000E-10	5.395956E-4
9.000000E-10	5.310306E-4
9.500000E-10	5.053356E-4
1.000000E-9	5.738557E-4
1.050000E-9	6.423757E-4
1.100000E-9	6.338107E-4
1.150000E-9	6.338107E-4
1.200000E-9	6.595058E-4
1.250000E-9	6.338107E-4
1.300000E-9	6.423757E-4
1.350000E-9	7.023308E-4
1.400000E-9	7.280258E-4
1.450000E-9	6.680708E-4
1.500000E-9	6.252457E-4
1.550000E-9	5.995507E-4
1.600000E-9	5.738557E-4
1.650000E-9	5.824207E-4
1.700000E-9	5.310306E-4
1.750000E-9	3.511654E-4
1.800000E-9	1.713002E-4
1.850000E-9	9.421511E-5
1.900000E-9	5.139006E-5
1.950000E-9	4.282505E-5
2.000000E-9	1.370402E-4
2.050000E-9	2.226903E-4
2.100000E-9	2.655153E-4
2.150000E-9	3.854254E-4
2.200000E-9	5.652907E-4
2.250000E-9	6.852008E-4
2.300000E-9	7.622859E-4
2.350000E-9	9.335861E-4
2.400000E-9	1.147711E-3
2.450000E-9	1.310447E-3
2.500000E-9	1.396097E-3
2.550000E-9	1.421792E-3
2.600000E-9	1.438922E-3
2.650000E-9	1.456052E-3
2.700000E-9	1.473182E-3
2.750000E-9	1.464617E-3
2.800000E-9	1.447487E-3
2.850000E-9	1.378967E-3
2.900000E-9	1.190536E-3
2.950000E-9	1.019236E-3
3.000000E-9	9.250211E-4
3.050000E-9	7.708509E-4
3.100000E-9	5.310306E-4
3.150000E-9	3.511654E-4
3.200000E-9	1.884302E-4
